var_shortn,var_longn_eng,SHIP-START-4 Code Parts ,LOINC,LOINC code parts,Relation,Cardinality,,,,,,,,,,,,,,,,,,,
,,,59158-6,"C: Ketones
P: SCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
ubg_u,LAB: (urine) urobilinogen (µmol/l),"C: Urobilinogen
P: µmol/l
T: Pt
S: Urine
Sc: Qn
M:",34927-4,"C: Urobilinogen
P: SCnc
T: Pt
S: Urine
Sc: Qn
M:",=,3,,,,,,,,,,3,,,,,,,,,
,,,34928-2,"C: Urobilinogen
P: SCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip ",=,,,,,,,,,,,,,,,,,,,,
,,,60025-4,"C: Urobilinogen
P: SCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
bili_u,LAB: (urine) bilirubin (µmol/l),"C: Bilirubin
P: µmol/l
T: Pt
S: Urine
Sc: Qn
M:",70199-5 ,"C: Bilirubin
P: SCnc
T: Pt
S: Urine
Sc: Qn
M:",=,3,,,,,,,,,,3,,,,,,,,,
,,,41016-7,"C: Bilirubin
P: SCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip ",=,,,,,,,,,,,,,,,,,,,,
,,,68367-2,"C: Bilirubin
P: SCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
ery_u,LAB: (urine) erythrocytes (/µl),"C: Erythrocytes
P: /µl
T: Pt
S: Urine
Sc: Qn
M: ",30391-7,"C: Erythrocytes
P: NCnc
T: Pt
S: Urine
Sc: Qn
M:",=,3,,,,,,,,,,3,,,,,,,,,
,,,20409-9,"C: Erythrocytes
P: NCnc
T:  Pt
S: Urine
Sc. Qn
M: Test strip ",=,,,,,,,,,,,,,,,,,,,,
,,,57747-8,"C: Erythrocytes
P: NCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
,,,49137-3,"C: Hemoglobin
P: MCnc
T: Pt
S: Urine
Sc. Qn
M: Test strip",=,2,,,,,,,,,,2,,,,,,,,,
,,,50559-4,"C: Hemoglobin
P: MCnc
T: Pt
S: Urine
Sc. Qn
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
,,,22705-8,"C: Glucose
P: SCnc
T: Pt
S:Urine
Sc: Qn
M: Test strip ",=,2,,,,,,,,,,2,,,,,,,,,
,,,59156-0,"C: Glucose
P: SCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
ket_u,LAB: (urine) ketone (mmol/l),"C: Ketones
P: mmol/l
T: Pt
S: Urine
Sc: Qn
M: ",22702-5,"C: Ketones
P: SCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip ",=,2,,,,,,,,,,2,,,,,,,,,
,,,59158-6,"C: Ketones
P: SCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
,,,34928-2,"C: Urobilinogen
P: SCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip ",=,,,,,,,,,,,,,,,,,,,,
,,,60025-4,"C: Urobilinogen
P: SCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
,,,41016-7,"C: Bilirubin
P: SCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip ",=,,,,,,,,,,,,,,,,,,,,
